id,name,date,self_development,geo_flex,financial_support_self,result,course_interest
283,tarrah bunny,07/08/2019,Yes,Yes,Yes,Pass,Business
284,bondon josselson,15/08/2019,Yes,No,Yes,Fail,Engineering
285,denny begg,08/08/2019,Yes,Yes,Yes,Pass,Data
286,clim lovie,29/08/2019,Yes,Yes,Yes,Fail,Business
287,wolf radolf,08/08/2019,Yes,Yes,Yes,Pass,Engineering
288,ferrel lissandrini,29/08/2019,Yes,Yes,Yes,Fail,Business
289,carlos gerckens,01/08/2019,Yes,Yes,Yes,Pass,Data
290,blake nunson,01/08/2019,Yes,Yes,Yes,Pass,Engineering
291,paula danielsen,22/08/2019,Yes,Yes,No,Fail,Business
292,brose menghi,06/08/2019,Yes,Yes,Yes,Pass,Engineering
293,junia collins,29/08/2019,Yes,Yes,Yes,Pass,Data
294,jule corke,29/08/2019,Yes,Yes,No,Fail,Engineering
295,matteo cornewell,27/08/2019,Yes,Yes,Yes,Pass,Business
296,sid libbie,01/08/2019,Yes,Yes,No,Fail,Engineering
297,rhody cushion,27/08/2019,Yes,Yes,Yes,Pass,Business
298,chester hanselmann,07/08/2019,Yes,Yes,No,Fail,Data
299,courtney wenman,28/08/2019,No,Yes,Yes,Fail,Engineering
300,vaclav ortler,20/08/2019,Yes,Yes,Yes,Pass,Data
301,mariquilla cowope,14/08/2019,Yes,Yes,Yes,Fail,Business
302,joey macgeffen,14/08/2019,Yes,Yes,Yes,Pass,Data
303,cora klausewitz,15/08/2019,Yes,Yes,Yes,Pass,Data
304,gris brame,14/08/2019,Yes,Yes,No,Fail,Business
305,berty huban,18/07/2019,Yes,Yes,Yes,Pass,Business
306,matthieu dulake,31/07/2019,Yes,Yes,Yes,Pass,Engineering
307,darwin sambiedge,10/07/2019,Yes,Yes,Yes,Fail,Data
308,sim bacchus,23/07/2019,Yes,Yes,Yes,Pass,Data
309,anabal teese,09/07/2019,Yes,No,Yes,Fail,Business
310,sybila bragge,23/07/2019,Yes,No,Yes,Fail,Data
311,donalt gummoe,16/07/2019,No,Yes,Yes,Fail,Data
312,romola coldtart,17/07/2019,Yes,Yes,Yes,Pass,Data
313,shea chasmoor,17/07/2019,Yes,Yes,Yes,Fail,Business
314,nora akers,24/07/2019,Yes,Yes,Yes,Pass,Engineering
315,sander rewbottom,25/07/2019,Yes,Yes,Yes,Pass,Data
316,francklyn leyninye,24/07/2019,Yes,Yes,Yes,Pass,Business
317,julissa dumbleton,24/07/2019,Yes,Yes,Yes,Pass,Data
318,zacharias restorick,11/07/2019,Yes,Yes,Yes,Pass,Business
319,andriana uc,02/07/2019,Yes,Yes,Yes,Pass,Business
320,benita enefer,11/07/2019,Yes,Yes,Yes,Pass,Data
321,isacco teese,02/07/2019,Yes,Yes,Yes,Pass,Business
322,farlee baalham,16/07/2019,Yes,No,Yes,Fail,Data
323,zsa zsa rounsefull,16/07/2019,Yes,Yes,Yes,Fail,Data
324,amanda minto,18/07/2019,No,Yes,Yes,Fail,Business
325,annie ibbotson,25/07/2019,Yes,No,Yes,Fail,Business
326,roana sanger,11/07/2019,Yes,No,Yes,Fail,Business
327,elise soppeth,24/07/2019,Yes,Yes,Yes,Pass,Data
328,betty lamlin,10/07/2019,No,Yes,Yes,Fail,Data
329,verena townes,16/07/2019,Yes,Yes,Yes,Pass,Business
330,constance fellibrand,09/07/2019,Yes,Yes,Yes,Pass,Engineering
331,joannes yurshev,18/07/2019,Yes,Yes,Yes,Pass,Business
332,brunhilde zellick,03/07/2019,Yes,Yes,Yes,Pass,Engineering
333,mathilde keppin,02/07/2019,Yes,Yes,Yes,Pass,Engineering
334,aili bursnoll,30/07/2019,Yes,No,Yes,Fail,Engineering
335,kerr allanson,24/07/2019,No,Yes,Yes,Fail,Data
336,eldin broster,17/07/2019,Yes,Yes,Yes,Fail,Data
337,cherrita mcgilleghole,11/07/2019,Yes,Yes,Yes,Pass,Engineering
338,ortensia winscomb,11/07/2019,Yes,Yes,Yes,Pass,Data
339,fleming mcmurdo,09/07/2019,Yes,No,Yes,Fail,Data
340,brigid blabber,23/07/2019,Yes,Yes,Yes,Pass,Business
341,ludvig grzes,16/07/2019,Yes,Yes,Yes,Pass,Data
342,hurley collyer,24/07/2019,Yes,No,Yes,Fail,Engineering
343,kitty allen,02/07/2019,Yes,Yes,Yes,Pass,Business
344,bary fendlen,18/07/2019,Yes,Yes,Yes,Fail,Business
345,horten goble,24/07/2019,Yes,Yes,Yes,Pass,Business
346,natassia pawle,03/07/2019,Yes,Yes,Yes,Pass,Engineering
347,karoly skates,16/07/2019,Yes,Yes,Yes,Pass,Engineering
348,albina alves,02/07/2019,Yes,Yes,Yes,Pass,Business
349,evered giovanizio,04/07/2019,No,Yes,Yes,Fail,Business
350,elliot yarnley,23/07/2019,Yes,Yes,Yes,Fail,Engineering
351,vanessa gives,30/07/2019,No,Yes,Yes,Fail,Data
352,fremont oxlee,18/07/2019,Yes,Yes,Yes,Fail,Business
353,fan hember,04/07/2019,Yes,No,Yes,Fail,Business
354,fee karpe,17/07/2019,Yes,Yes,Yes,Pass,Data
356,katrine westley,24/07/2019,Yes,No,Yes,Fail,Engineering
357,quill tompkinson,10/07/2019,Yes,Yes,Yes,Fail,Data
358,donavon glazebrook,23/07/2019,Yes,Yes,Yes,Pass,Business
359,gisele beetham,25/07/2019,No,No,Yes,Fail,Data
360,hilliard reinard,18/07/2019,Yes,Yes,Yes,Pass,Engineering
361,ira rathbourne,18/07/2019,Yes,Yes,Yes,Pass,Data
362,shaun dowley,10/07/2019,Yes,Yes,No,Fail,Business
363,hartwell silver,30/07/2019,Yes,Yes,Yes,Pass,Engineering
364,shoshanna janicek,18/07/2019,Yes,Yes,Yes,Pass,Engineering
365,ingrid cradick,24/07/2019,Yes,No,Yes,Fail,Data
366,chevy pyburn,02/07/2019,Yes,Yes,Yes,Pass,Engineering
367,bertram esgate,30/07/2019,Yes,Yes,Yes,Pass,Data
368,larisa warrington,02/07/2019,No,Yes,Yes,Fail,Business
369,lissa pumfrett,11/07/2019,Yes,Yes,Yes,Pass,Data
370,demetrius dunbavin,02/07/2019,Yes,Yes,Yes,Pass,Business
371,morgen lilywhite,09/07/2019,Yes,Yes,Yes,Pass,Data
372,rickard blakes,09/07/2019,Yes,Yes,Yes,Pass,Engineering
373,emily barras,30/07/2019,Yes,Yes,Yes,Pass,Business
374,tonye ambrogio,18/07/2019,Yes,Yes,Yes,Pass,Data
375,robers gentner,09/07/2019,Yes,Yes,Yes,Fail,Data
376,kellyann yorkston,16/07/2019,Yes,Yes,No,Fail,Data
377,olly mougenel,16/07/2019,Yes,Yes,No,Fail,Business
378,merrill mckie,23/07/2019,Yes,Yes,Yes,Pass,Business
379,kass castellan,03/07/2019,Yes,Yes,Yes,Pass,Engineering
380,marlon reside,30/07/2019,Yes,Yes,Yes,Pass,Data
381,oswald lyndon,10/07/2019,Yes,Yes,Yes,Pass,Engineering
382,arty indruch,02/07/2019,Yes,Yes,Yes,Pass,Business
383,sharl shambrooke,04/07/2019,Yes,Yes,Yes,Fail,Engineering
384,antonius heape,17/07/2019,Yes,Yes,Yes,Pass,Engineering
385,rad bench,17/07/2019,Yes,Yes,Yes,Pass,Data
386,agace o'shields,30/07/2019,Yes,Yes,Yes,Pass,Business
387,mela burgill,09/07/2019,Yes,Yes,Yes,Pass,Business
388,justis gilham,25/07/2019,Yes,Yes,Yes,Pass,Engineering
389,valery delia,24/07/2019,No,Yes,Yes,Fail,Engineering
390,kylie cordell,18/07/2019,Yes,Yes,Yes,Pass,Business
391,emmett stogill,17/07/2019,Yes,Yes,No,Fail,Engineering
392,julianne neagle,09/07/2019,Yes,Yes,Yes,Fail,Engineering
393,cobbie wolfinger,30/07/2019,No,Yes,Yes,Fail,Data
394,blondy fearnall,04/07/2019,Yes,Yes,Yes,Pass,Engineering
395,bowie endersby,16/07/2019,Yes,Yes,Yes,Pass,Data
396,andrey cochran,24/07/2019,Yes,Yes,Yes,Pass,Data
397,letizia mckern,04/07/2019,Yes,Yes,Yes,Pass,Business
398,fons ghiotto,16/07/2019,Yes,Yes,Yes,Pass,Engineering
399,sal inglesent,04/07/2019,Yes,Yes,Yes,Pass,Data
