id,name,date,self_development,geo_flex,financial_support_self,result,course_interest
265,Dorothy Hailwood,15/08/2019,Yes,No,Yes,Fail,Business
266,Jodie Kaygill,01/08/2019,Yes,Yes,Yes,Pass,Data
267,Jim Dwerryhouse,27/08/2019,Yes,Yes,Yes,Pass,Business
268,Delinda Conybear,01/08/2019,Yes,Yes,Yes,Pass,Data
269,Norby Burle,21/08/2019,No,No,Yes,Fail,Business
270,Robinet Renwick,15/08/2019,Yes,Yes,Yes,Pass,Business
271,Perry Richemond,08/08/2019,Yes,Yes,Yes,Pass,Data
272,Carlyn Reisin,14/08/2019,Yes,Yes,Yes,Pass,Business
273,Horatius Starking,08/08/2019,Yes,Yes,No,Fail,Business
274,Leoline Vigietti,07/08/2019,Yes,Yes,Yes,Pass,Business
275,Rudolf Maple,21/08/2019,Yes,Yes,Yes,Pass,Data
276,Alwin Bullman,07/08/2019,Yes,Yes,Yes,Pass,Data
277,Shae Ainslie,15/08/2019,Yes,Yes,Yes,Pass,Business
278,Ciel Poizer,14/08/2019,No,Yes,Yes,Fail,Business
279,Matteo Yeowell,01/08/2019,Yes,Yes,Yes,Pass,Business
280,Saundra Fuzzens,28//08/2019,Yes,Yes,Yes,Fail,Business
281,Denise Oppy,21/08/2019,Yes,Yes,Yes,Pass,Engineering
282,Didi Stronough,29/08/2019,Yes,Yes,Yes,Pass,Engineering
283,Tarrah Bunny,07/08/2019,Yes,Yes,Yes,Pass,Business
284,Bondon Josselson,15/08/2019,Yes,No,Yes,Fail,Engineering
285,Denny Begg,08/08/2019,Yes,Yes,Yes,Pass,Data
286,Clim Lovie,29/08/2019,Yes,Yes,Yes,Fail,Business
287,Wolf Radolf,08/08/2019,Yes,Yes,Yes,Pass,Engineering
288,Ferrel Lissandrini,29/08/2019,Yes,Yes,Yes,Fail,Business
289,Carlos Gerckens,01/08/2019,Yes,Yes,Yes,Pass,Data
290,Blake Nunson,01/08/2019,Yes,Yes,Yes,Pass,Engineering
291,Paula Danielsen,22/08/2019,Yes,Yes,No,Fail,Business
292,Brose Menghi,06/08/2019,Yes,Yes,Yes,Pass,Engineering
293,Junia Collins,29/08/2019,Yes,Yes,Yes,Pass,Data
294,Jule Corke,29/08/2019,Yes,Yes,No,Fail,Engineering
295,Matteo Cornewell,27/08/2019,Yes,Yes,Yes,Pass,Business
296,Sid Libbie,01/08/2019,Yes,Yes,No,Fail,Engineering
297,Rhody Cushion,27/08/2019,Yes,Yes,Yes,Pass,Business
298,Chester Hanselmann,07/08/2019,Yes,Yes,No,Fail,Data
299,Courtney Wenman,28/08/2019,No,Yes,Yes,Fail,Engineering
300,Vaclav Ortler,20/08/2019,Yes,Yes,Yes,Pass,Data
301,Mariquilla Cowope,14/08/2019,Yes,Yes,Yes,Fail,Business
302,Joey Macgeffen,14/08/2019,Yes,Yes,Yes,Pass,Data
303,Cora Klausewitz,15/08/2019,Yes,Yes,Yes,Pass,Data
304,Gris Brame,14/08/2019,Yes,Yes,No,Fail,Business
305,Berty Huban,18/07/2019,Yes,Yes,Yes,Pass,Business
306,Matthieu Dulake,31/07/2019,Yes,Yes,Yes,Pass,Engineering
307,Darwin Sambiedge,10/07/2019,Yes,Yes,Yes,Fail,Data
308,Sim Bacchus,23/07/2019,Yes,Yes,Yes,Pass,Data
309,Anabal Teese,09/07/2019,Yes,No,Yes,Fail,Business
310,Sybila Bragge,23/07/2019,Yes,No,Yes,Fail,Data
311,Donalt Gummoe,16/07/2019,No,Yes,Yes,Fail,Data
312,Romola Coldtart,17/07/2019,Yes,Yes,Yes,Pass,Data
313,Shea Chasmoor,17/07/2019,Yes,Yes,Yes,Fail,Business
314,Nora Akers,24/07/2019,Yes,Yes,Yes,Pass,Engineering
315,Sander Rewbottom,25/07/2019,Yes,Yes,Yes,Pass,Data
316,Francklyn Leyninye,24/07/2019,Yes,Yes,Yes,Pass,Business
317,Julissa Dumbleton,24/07/2019,Yes,Yes,Yes,Pass,Data
318,Zacharias Restorick,11/07/2019,Yes,Yes,Yes,Pass,Business
319,Andriana Uc,02/07/2019,Yes,Yes,Yes,Pass,Business
320,Benita Enefer,11/07/2019,Yes,Yes,Yes,Pass,Data
321,Isacco Teese,02/07/2019,Yes,Yes,Yes,Pass,Business
322,Farlee Baalham,16/07/2019,Yes,No,Yes,Fail,Data
323,Zsa Zsa Rounsefull,16/07/2019,Yes,Yes,Yes,Fail,Data
324,Amanda Minto,18/07/2019,No,Yes,Yes,Fail,Business
325,Annie Ibbotson,25/07/2019,Yes,No,Yes,Fail,Business
326,Roana Sanger,11/07/2019,Yes,No,Yes,Fail,Business
327,Elise Soppeth,24/07/2019,Yes,Yes,Yes,Pass,Data
328,Betty Lamlin,10/07/2019,No,Yes,Yes,Fail,Data
329,Verena Townes,16/07/2019,Yes,Yes,Yes,Pass,Business
330,Constance Fellibrand,09/07/2019,Yes,Yes,Yes,Pass,Engineering
331,Joannes Yurshev,18/07/2019,Yes,Yes,Yes,Pass,Business
332,Brunhilde Zellick,03/07/2019,Yes,Yes,Yes,Pass,Engineering
333,Mathilde Keppin,02/07/2019,Yes,Yes,Yes,Pass,Engineering
334,Aili Bursnoll,30/07/2019,Yes,No,Yes,Fail,Engineering
335,Kerr Allanson,24/07/2019,No,Yes,Yes,Fail,Data
336,Eldin Broster,17/07/2019,Yes,Yes,Yes,Fail,Data
337,Cherrita Mcgilleghole,11/07/2019,Yes,Yes,Yes,Pass,Engineering
338,Ortensia Winscomb,11/07/2019,Yes,Yes,Yes,Pass,Data
339,Fleming Mcmurdo,09/07/2019,Yes,No,Yes,Fail,Data
340,Brigid Blabber,23/07/2019,Yes,Yes,Yes,Pass,Business
341,Ludvig Grzes,16/07/2019,Yes,Yes,Yes,Pass,Data
342,Hurley Collyer,24/07/2019,Yes,No,Yes,Fail,Engineering
343,Kitty Allen,02/07/2019,Yes,Yes,Yes,Pass,Business
344,Bary Fendlen,18/07/2019,Yes,Yes,Yes,Fail,Business
345,Horten Goble,24/07/2019,Yes,Yes,Yes,Pass,Business
346,Natassia Pawle,03/07/2019,Yes,Yes,Yes,Pass,Engineering
347,Karoly Skates,16/07/2019,Yes,Yes,Yes,Pass,Engineering
348,Albina Alves,02/07/2019,Yes,Yes,Yes,Pass,Business
349,Evered Giovanizio,04/07/2019,No,Yes,Yes,Fail,Business
350,Elliot Yarnley,23/07/2019,Yes,Yes,Yes,Fail,Engineering
351,Vanessa Gives,30/07/2019,No,Yes,Yes,Fail,Data
352,Fremont Oxlee,18/07/2019,Yes,Yes,Yes,Fail,Business
353,Fan Hember,04/07/2019,Yes,No,Yes,Fail,Business
354,Fee Karpe,17/07/2019,Yes,Yes,Yes,Pass,Data
355,Fee Karpe,17/07/2019,Yes,Yes,Yes,Pass,Data
356,Katrine Westley,24/07/2019,Yes,No,Yes,Fail,Engineering
357,Quill Tompkinson,10/07/2019,Yes,Yes,Yes,Fail,Data
358,Donavon Glazebrook,23/07/2019,Yes,Yes,Yes,Pass,Business
359,Gisele Beetham,25/07/2019,No,No,Yes,Fail,Data
360,Hilliard Reinard,18/07/2019,Yes,Yes,Yes,Pass,Engineering
361,Ira Rathbourne,18/07/2019,Yes,Yes,Yes,Pass,Data
362,Shaun Dowley,10/07/2019,Yes,Yes,No,Fail,Business
363,Hartwell Silver,30/07/2019,Yes,Yes,Yes,Pass,Engineering
364,Shoshanna Janicek,18/07/2019,Yes,Yes,Yes,Pass,Engineering
365,Ingrid Cradick,24/07/2019,Yes,No,Yes,Fail,Data
366,Chevy Pyburn,02/07/2019,Yes,Yes,Yes,Pass,Engineering
367,Bertram Esgate,30/07/2019,Yes,Yes,Yes,Pass,Data
368,Larisa Warrington,02/07/2019,No,Yes,Yes,Fail,Business
369,Lissa Pumfrett,11/07/2019,Yes,Yes,Yes,Pass,Data
370,Demetrius Dunbavin,02/07/2019,Yes,Yes,Yes,Pass,Business
371,Morgen Lilywhite,09/07/2019,Yes,Yes,Yes,Pass,Data
372,Rickard Blakes,09/07/2019,Yes,Yes,Yes,Pass,Engineering
373,Emily Barras,30/07/2019,Yes,Yes,Yes,Pass,Business
374,Tonye Ambrogio,18/07/2019,Yes,Yes,Yes,Pass,Data
