name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8
Quintus Penella,Gregor Gomez,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilaire Ord,Bruce Lugo,7,2,6,5,5,1,2,6,2,1,1,5,1,5,5,2,5,5,1,7,8,8,5,5,8,5,5,6,4,4,8,2,8,4,6,6,8,8,8,5,8,8,8,8,8,8,7,5
Thorpe Pettett,Bruce Lugo,6,1,4,4,2,1,7,1,6,3,4,3,2,3,3,1,3,3,7,6,8,8,7,8,8,6,6,8,5,3,6,7,2,4,2,7,8,8,8,7,8,8,8,8,8,8,5,8
Tiphany Gribben,Bruce Lugo,2,1,3,1,2,5,3,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pam Hupka,Bruce Lugo,1,5,2,1,5,1,2,3,2,6,1,1,2,1,5,7,4,1,8,7,7,8,8,7,5,5,6,7,8,5,7,3,5,3,7,8,4,7,4,8,8,7,6,6,8,8,7,8
Verne Francescuzzi,Gregor Gomez,2,4,1,2,3,4,2,2,2,3,8,6,4,3,2,6,3,4,4,5,6,6,6,6,6,8,6,6,5,5,5,8,8,4,8,6,8,7,8,8,8,8,8,8,8,6,7,6
Audi Westmacott,Gregor Gomez,2,4,1,3,3,3,5,5,2,3,1,4,3,1,7,1,1,3,5,3,8,6,8,8,5,7,3,5,5,1,7,3,6,1,6,2,6,7,8,8,8,8,8,8,8,6,6,8
Gae Crutch,Gregor Gomez,6,3,2,3,3,2,2,4,3,3,3,3,1,1,5,3,3,3,5,7,4,4,8,4,3,6,5,6,7,6,8,3,8,8,3,6,6,7,8,8,6,8,8,8,8,8,6,8
Fowler Crewdson,Gregor Gomez,1,1,3,7,5,5,1,6,2,5,1,5,3,1,5,4,4,2,7,6,6,4,6,4,2,7,8,7,3,8,4,8,8,3,5,8,8,6,8,8,8,4,8,8,8,8,8,8
Joletta Matzaitis,Gregor Gomez,4,4,3,4,5,6,2,6,4,2,5,1,4,3,4,4,2,2,8,8,7,5,8,5,7,2,6,8,5,2,8,4,7,7,3,8,8,8,5,8,8,7,8,8,6,8,7,7
Ofelia Helm,Gregor Gomez,1,7,3,1,4,3,5,1,6,1,1,3,3,4,4,1,2,4,4,6,3,8,4,8,5,5,5,4,5,4,4,7,8,5,8,6,8,8,8,8,8,8,7,8,8,5,7,6
Quinton Kuhnt,Gregor Gomez,2,3,5,4,3,5,4,2,3,3,6,2,1,3,3,1,3,1,4,6,4,8,6,7,6,6,8,4,5,3,3,7,4,8,5,5,8,8,8,8,8,8,8,8,8,8,8,8
Frankie Mabee,Gregor Gomez,1,3,3,7,2,2,1,2,3,6,4,1,2,7,2,2,2,3,8,5,4,6,7,7,3,1,8,6,3,5,7,2,8,4,5,4,8,8,7,8,7,7,8,8,8,3,8,8
Cami Burberow,Gregor Gomez,1,5,4,6,3,5,5,1,3,3,6,8,5,3,6,3,1,4,7,5,8,8,8,5,8,6,4,8,8,5,8,7,6,8,7,4,8,8,6,8,5,8,4,6,5,4,8,8
Gayla Bownas,Gregor Gomez,3,3,4,4,3,3,1,2,4,2,5,5,1,2,7,2,3,2,4,7,5,6,7,8,8,7,7,6,6,2,3,7,5,8,4,8,6,8,4,5,4,8,8,8,8,5,8,8
Latisha Ibel,Gregor Gomez,2,3,5,4,6,3,4,7,4,4,3,6,1,3,4,3,2,5,3,1,6,5,5,3,4,3,5,8,8,5,5,7,6,3,8,5,6,5,8,8,7,7,8,8,8,5,8,8
Darb Noor,Neil Mccarthy,3,6,2,4,3,2,1,1,2,5,4,5,3,5,5,2,4,1,5,2,7,3,4,8,5,4,6,4,8,5,2,3,8,7,8,4,8,8,8,8,6,8,8,6,8,8,8,7
Adah Spencers,Neil Mccarthy,5,3,2,5,4,3,4,5,1,1,4,1,6,3,1,7,2,2,4,6,8,7,3,5,2,5,8,3,3,5,5,6,5,8,7,7,7,7,7,8,8,8,8,8,6,8,7,8
Kariotta Barense,Neil Mccarthy,4,4,5,2,3,1,2,2,3,3,6,3,4,4,5,5,1,4,8,4,7,4,8,6,8,7,2,7,4,3,5,6,8,7,5,7,8,5,8,7,8,8,8,7,8,3,5,8
Biddy Rapps,Neil Mccarthy,4,4,2,5,5,5,4,3,6,6,2,4,4,4,2,5,3,3,5,8,6,5,6,4,7,3,3,3,4,7,3,7,8,5,5,6,7,6,8,8,8,7,5,5,8,5,8,8
Thatcher Frankish,Neil Mccarthy,3,3,1,3,1,6,3,1,4,2,2,1,4,4,3,6,4,3,3,7,3,4,5,4,8,4,7,6,4,4,6,3,8,6,3,3,7,5,7,8,8,8,8,8,6,6,7,8
Idelle Kidstoun,Neil Mccarthy,4,2,3,3,1,4,1,6,3,2,3,3,3,3,1,3,3,1,3,4,8,2,2,8,5,6,3,7,8,4,7,4,5,3,8,3,8,1,8,8,6,5,8,7,5,5,6,7
Bailey Antrim,Neil Mccarthy,2,4,4,4,5,6,4,2,4,2,4,2,4,6,2,4,6,3,5,4,3,2,8,4,4,8,1,8,2,3,4,2,4,2,3,2,8,7,7,8,7,5,5,6,6,3,8,6
William Dryden,Neil Mccarthy,2,4,2,2,4,4,1,2,3,2,3,2,6,3,2,7,6,2,6,8,5,3,3,8,8,8,7,5,6,5,4,4,8,7,3,6,6,7,8,8,6,8,8,5,8,7,8,7
Dean Burnup,Neil Mccarthy,1,4,2,3,2,2,2,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burtie Garfitt,Neil Mccarthy,1,1,5,5,5,3,3,3,1,4,2,5,6,1,2,5,1,1,6,6,7,4,5,3,7,6,5,4,6,5,5,6,6,7,6,8,8,4,7,8,8,8,7,8,7,8,5,8
Maggy Clapison,Neil Mccarthy,2,4,1,2,2,4,2,4,1,2,2,4,7,5,3,5,1,4,6,7,7,6,8,3,7,4,8,8,8,8,4,4,4,6,7,8,8,8,5,8,8,6,4,8,8,4,4,8
Julia Llorens,Neil Mccarthy,5,7,3,2,2,3,2,1,1,5,2,2,1,2,4,1,4,2,8,8,8,4,8,4,6,7,7,7,6,5,6,3,8,7,7,4,8,5,3,8,8,8,8,8,8,6,8,8
Sanford Larking,Rachel Richard,3,2,3,4,2,1,2,2,4,3,1,1,4,5,3,1,3,3,3,6,8,5,8,5,8,4,4,5,8,8,6,8,5,3,7,8,8,8,8,8,8,4,8,8,8,8,8,8
Ulrika Lemerie,Rachel Richard,6,1,3,1,2,2,2,3,4,2,2,3,3,5,2,3,3,1,1,5,7,8,4,8,2,3,8,8,1,8,7,2,6,4,6,3,8,7,4,8,8,8,8,8,8,6,6,4
Alidia Govett,Rachel Richard,3,5,7,3,3,3,3,4,6,1,2,2,2,2,3,3,1,3,6,7,3,5,6,7,3,7,7,5,6,8,5,4,5,7,6,5,4,8,4,8,8,8,8,8,4,8,8,8
Angel Matteau,Rachel Richard,4,3,1,2,4,4,4,7,2,7,2,2,4,2,4,3,3,3,5,8,6,7,8,4,7,8,5,5,4,5,7,7,3,7,8,7,8,8,3,7,8,5,5,8,8,8,6,8
Wolfie Showers,Rachel Richard,1,7,1,4,2,4,3,5,8,2,4,2,1,2,4,2,8,2,2,7,5,6,5,3,5,6,6,3,8,2,6,7,8,6,6,5,8,8,8,8,8,8,8,8,3,6,6,8
Nicolea Gibbins,Rachel Richard,1,2,3,2,4,3,4,5,5,2,5,1,4,1,2,1,3,2,5,7,4,5,3,6,4,4,8,4,5,7,4,5,8,6,8,5,8,6,6,8,8,8,8,8,8,8,8,8
Florina Sudlow,Rachel Richard,7,4,3,3,1,4,4,2,4,2,2,3,6,2,3,4,3,3,5,8,2,7,5,5,8,5,8,6,6,6,5,8,7,8,6,8,7,8,8,8,5,8,7,8,8,8,7,7
Dianna Brewett,Rachel Richard,8,1,2,5,2,2,4,6,3,2,2,1,1,2,4,8,4,1,5,8,7,6,3,5,4,5,4,4,6,8,7,8,3,3,8,6,6,6,8,8,8,6,8,8,7,7,8,5
Megan Hallihan,Rachel Richard,1,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherlocke Baselio,Rachel Richard,2,5,3,4,5,2,3,7,6,2,1,2,1,3,6,3,1,4,8,5,4,3,2,8,8,6,4,4,5,6,8,5,7,5,6,7,7,8,8,7,8,8,7,8,8,8,8,8
Keen Tripony,Rachel Richard,5,1,3,1,3,6,3,2,2,1,4,5,4,4,2,2,5,1,4,4,5,5,7,4,5,6,8,7,7,7,8,7,8,6,8,4,8,8,8,8,8,8,8,3,8,8,8,8
Collete Causbey,Rachel Richard,1,7,3,2,3,3,4,1,6,5,2,3,2,4,3,3,2,1,3,6,8,3,8,8,4,2,6,4,8,5,6,8,8,6,3,3,8,8,8,3,8,7,5,8,8,8,8,6
Gabi Ivins,Gregor Gomez,4,1,6,2,1,1,3,2,2,2,5,2,4,1,6,2,3,5,6,7,6,4,3,2,8,5,3,4,3,7,1,8,8,8,4,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
Melodee Crippen,Gregor Gomez,4,2,5,1,1,3,3,3,3,3,3,1,3,2,6,1,5,4,6,3,1,7,6,6,8,3,5,3,8,5,6,8,5,5,8,1,8,8,5,4,7,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8
Wilt Gotliffe,Gregor Gomez,1,5,4,2,1,3,1,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mela Burgill,Gregor Gomez,1,7,2,2,3,5,5,1,1,5,3,3,2,4,5,2,2,4,8,8,8,6,4,6,6,6,3,8,5,6,8,3,3,5,7,6,4,8,8,8,8,8,8,7,4,8,3,8,8,6,3,8,8,7,8,8,2,6,8,8
Uriel Eidelman,Gregor Gomez,8,2,3,6,4,4,2,1,3,4,3,4,1,1,6,2,4,2,8,4,8,4,8,8,8,7,6,8,5,7,3,6,6,6,5,5,8,8,7,8,8,8,8,6,8,8,8,7,7,8,8,8,7,8,8,8,8,8,8,8
Vivienne Blakelock,Gregor Gomez,2,7,1,6,5,4,2,3,1,1,4,1,1,4,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auberon Werny,Gregor Gomez,5,5,6,5,4,2,4,5,4,5,4,3,3,2,1,3,4,4,7,7,5,1,6,8,6,8,8,5,5,8,3,5,6,7,8,7,8,8,6,6,8,8,8,8,8,8,8,8,8,7,8,8,8,6,8,8,8,8,8,8
Nikolaus Gullefant,Gregor Gomez,1,5,4,4,3,6,4,4,3,1,2,2,2,3,6,1,5,1,3,7,3,2,6,3,6,4,7,7,8,7,8,6,8,7,4,5,8,8,6,8,8,8,7,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Prentice Van Der Hoeven,Gregor Gomez,3,2,4,3,1,4,3,3,5,1,2,1,2,5,3,3,3,4,4,8,4,1,4,5,6,4,5,4,1,5,6,6,8,6,3,5,8,8,8,8,7,8,8,7,4,8,8,5,8,6,8,8,8,5,8,8,8,8,8,8
Alikee Sawood,Gregor Gomez,2,4,4,1,3,7,1,3,4,3,1,3,2,1,2,2,5,3,8,6,7,8,4,5,7,8,7,8,4,4,3,2,7,6,5,8,6,7,8,8,7,8,8,4,8,4,8,8,8,5,8,8,8,8,8,8,8,8,8,8
Guido Lassells,Gregor Gomez,4,3,6,2,3,1,1,3,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verena Townes,Gregor Gomez,4,3,6,2,4,4,4,6,1,2,1,1,2,5,6,2,2,1,8,2,6,6,8,8,7,5,8,6,7,8,1,7,8,1,7,8,6,8,8,8,8,8,3,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Kylie Cordell,Gregor Gomez,3,2,7,5,4,4,6,6,2,3,2,3,2,1,4,2,4,2,3,6,2,4,5,7,7,4,8,7,8,8,8,7,5,4,5,3,8,6,8,3,8,6,5,8,8,8,8,7,8,6,8,8,8,7,8,8,8,8,8,8
Cornelia Artist,Hamzah Melia,3,5,2,4,1,3,2,1,5,3,4,3,3,8,1,2,2,1,8,4,2,5,2,5,1,8,6,8,5,1,8,3,8,8,8,5,8,8,8,8,7,8,8,8,8,8,6,8
Hanni Katt,Hamzah Melia,6,1,2,1,5,7,5,2,6,2,2,1,5,2,5,3,3,2,5,4,4,8,3,8,4,6,7,7,8,5,3,2,8,5,6,8,8,8,7,8,8,8,6,7,8,8,8,7
Eric Spritt,Hamzah Melia,1,4,6,5,1,1,1,6,4,3,1,6,4,4,4,6,1,4,7,6,5,5,4,4,5,8,7,4,4,5,3,6,4,5,7,8,8,8,2,7,7,8,8,8,1,2,6,7
Merrill Mckie,Hamzah Melia,7,3,2,4,2,2,2,3,5,7,3,1,4,1,2,3,6,1,4,2,8,8,8,5,7,2,2,8,5,8,7,4,6,6,8,7,8,8,8,2,8,5,8,8,4,8,8,8
Marcela Riding,Hamzah Melia,3,4,3,2,4,3,1,3,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Normington,Hamzah Melia,2,1,3,4,3,1,4,2,6,4,5,1,2,5,4,1,3,2,6,8,6,8,6,5,5,8,8,6,6,8,8,2,7,8,5,4,7,7,8,7,8,6,8,7,6,8,4,8
Aguste Tann,Hamzah Melia,4,3,4,4,3,2,4,2,2,3,1,1,1,3,1,5,1,2,6,4,8,4,4,7,8,3,8,8,4,6,6,5,3,8,8,5,8,7,7,6,6,8,8,8,5,8,8,3
Anet Satterley,Hamzah Melia,7,1,4,2,2,3,1,5,3,3,3,3,4,7,4,3,1,4,4,6,8,5,5,8,7,8,2,8,5,3,2,5,6,8,7,6,8,8,8,8,6,8,8,7,8,7,5,7
Agace O'Shields,Hamzah Melia,4,2,2,3,1,6,1,4,4,2,1,5,2,2,3,1,1,6,8,8,6,7,8,7,6,6,8,8,8,3,8,8,3,4,4,2,8,5,3,7,4,2,8,8,8,8,6,8
Matteo Yeowell,Burhan Milner,3,5,2,1,3,5,4,1,1,4,4,4,5,4,6,2,7,3,8,4,6,4,6,5,8,5,8,8,5,7,6,4,8,6,7,5,8,7,8,8,8,8,6,8,6,8,8,8
Deck Itzchaki,Burhan Milner,2,3,4,2,4,3,2,1,2,2,2,3,2,1,2,1,2,6,6,8,4,8,3,6,3,6,3,7,7,4,6,7,7,8,3,3,7,7,8,8,8,8,5,8,8,8,8,8
Tarrah Bunny,Burhan Milner,3,6,3,4,3,5,1,1,3,6,3,2,6,1,4,3,5,3,6,8,6,3,7,8,7,6,6,2,8,4,6,5,5,7,4,2,8,8,8,8,7,7,8,8,8,8,8,4
Fairlie Cogzell,Burhan Milner,5,2,2,3,3,3,3,4,4,2,3,3,1,5,4,2,5,5,7,6,6,3,4,4,6,3,6,5,7,8,6,6,6,2,5,4,7,8,8,7,5,7,7,7,8,8,8,8
Robinet Renwick,Burhan Milner,3,2,2,3,2,2,1,1,3,2,3,5,2,6,6,3,2,2,6,3,6,7,4,8,6,6,8,7,8,5,7,3,5,5,3,6,5,8,7,8,7,8,8,8,8,6,8,4
Boote Moan,Burhan Milner,5,4,3,6,2,4,8,4,1,4,4,2,7,3,2,1,1,3,8,4,8,5,5,7,5,7,4,6,8,8,2,4,7,8,6,8,8,8,5,7,6,8,8,8,6,6,7,8
Vaughn Wallington,Burhan Milner,1,1,2,3,1,4,6,2,4,1,2,3,4,2,2,2,2,4,5,4,7,4,6,4,8,7,5,4,5,2,8,3,4,3,8,3,6,8,8,8,8,7,8,8,8,6,8,8
Jim Dwerryhouse,Burhan Milner,5,3,4,3,4,2,1,1,5,2,4,5,1,2,2,2,3,3,5,3,3,7,8,4,7,5,4,7,7,8,3,8,8,7,7,4,8,7,8,8,7,8,8,8,8,8,8,7
Harriett Saffin,Burhan Milner,3,4,3,1,3,5,2,3,4,1,4,2,2,7,1,1,7,5,6,4,8,1,7,7,7,7,6,6,4,4,7,6,5,8,8,8,8,5,5,6,8,8,8,8,4,8,8,8
Omero Shill,Burhan Milner,4,5,2,1,4,1,4,5,3,3,3,3,4,4,2,2,3,3,6,8,5,2,6,8,5,5,3,8,8,7,1,8,4,8,4,8,8,6,5,5,6,8,8,5,8,8,7,8
Casey Putten,Elly Kelly,3,1,3,4,6,5,1,3,2,1,7,1,4,2,3,5,4,6,3,8,5,5,6,8,5,3,5,5,5,8,8,4,1,8,3,3,8,5,6,8,8,8,4,7,8,8,6,8
Una Caldicot,Elly Kelly,2,3,5,2,3,4,1,2,1,4,1,5,1,1,4,1,5,6,6,4,8,2,6,2,5,8,8,7,7,5,5,4,6,5,2,8,8,8,7,8,5,8,7,5,7,8,7,7
Riva Mangeot,Elly Kelly,4,7,2,2,2,3,3,1,3,4,2,2,2,4,1,1,2,3,1,3,8,8,3,4,8,3,6,8,8,5,6,5,4,7,8,7,8,8,8,8,4,8,6,8,8,6,6,7
Gery Marchment,Elly Kelly,4,3,4,2,1,1,2,4,3,1,1,2,6,1,2,6,2,3,4,7,4,6,2,4,5,8,2,8,5,4,8,5,4,5,5,6,7,7,7,7,8,8,8,8,8,8,8,7
Brendan Tithecott,Elly Kelly,3,4,4,3,2,1,2,6,1,6,5,3,4,5,1,2,5,4,4,8,6,5,3,4,6,3,5,7,5,4,7,5,7,5,8,4,8,8,8,8,8,8,8,5,8,4,8,6
Dorice Slides,Elly Kelly,5,2,3,3,4,2,3,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalinda Leebetter,Elly Kelly,2,1,2,4,8,1,3,3,2,6,1,1,5,4,1,5,2,3,8,7,5,8,8,4,4,5,8,6,1,5,6,3,8,5,5,3,8,4,7,5,8,8,8,8,8,8,7,6
Fifi Kingsly,Elly Kelly,3,2,5,3,3,1,5,4,2,2,2,2,6,1,7,4,6,1,8,2,8,8,5,5,3,8,5,6,8,2,2,8,8,7,6,7,8,3,8,7,8,8,8,8,5,7,8,3
Zollie Danks,Elly Kelly,1,3,1,3,5,5,2,5,1,1,2,2,5,1,1,1,4,1,8,4,3,6,6,5,5,4,5,7,7,8,7,8,7,7,4,7,4,8,8,8,8,6,4,8,8,6,7,8
Katleen Trunks,Elly Kelly,2,3,5,4,5,3,2,4,3,4,4,2,6,3,3,3,1,4,7,8,6,6,5,5,7,6,8,7,3,8,8,7,8,8,6,3,8,8,7,8,8,8,8,8,8,8,8,8
Heida Cossom,Elly Kelly,1,3,2,6,1,2,1,3,3,5,5,2,4,3,1,3,3,1,2,5,2,8,3,2,3,8,8,5,8,4,4,5,8,8,6,7,7,5,8,8,7,8,4,8,8,8,7,8
Nicola Lavall,Elly Kelly,1,3,4,2,2,7,7,6,3,8,3,2,4,5,2,1,3,2,4,2,7,3,2,7,5,8,3,5,4,3,5,8,7,5,8,7,8,8,8,8,8,8,8,8,8,4,4,6
Rossie Caitlin,Bruce Lugo,1,3,2,2,3,3,3,4,3,5,2,3,2,2,1,6,2,1,6,6,7,5,7,7,8,3,8,4,6,4,6,8,3,4,7,7,7,8,6,5,8,7,6,8,8,8,8,5,8,2,6,8,8,8,8,8,8,8,8,8
Marmaduke Kiefer,Bruce Lugo,4,4,3,4,5,7,4,1,2,2,2,3,1,4,5,1,3,2,8,1,8,3,8,5,8,6,5,8,6,5,7,2,5,8,7,8,8,5,7,8,8,8,8,8,6,7,8,8,8,7,6,8,8,8,8,8,8,6,8,8
Dina Mcgookin,Bruce Lugo,2,3,2,4,1,5,4,3,7,4,3,3,1,4,8,3,3,1,8,4,3,7,7,4,3,5,7,5,8,8,6,7,8,3,8,8,8,8,7,5,8,8,8,8,6,8,8,8,8,8,8,7,8,3,8,8,8,8,8,8
Reuven Kneaphsey,Bruce Lugo,3,3,3,5,2,6,5,2,4,1,5,4,1,3,1,1,3,3,7,8,2,4,6,2,4,7,8,2,5,5,4,6,8,6,2,8,8,8,8,8,8,7,8,6,8,8,8,4,6,6,8,8,6,8,8,8,8,8,6,7
Stephi Duckering,Bruce Lugo,3,2,2,3,2,1,4,4,1,1,3,5,3,3,2,3,2,1,4,8,3,5,3,5,4,4,5,8,7,6,2,5,5,8,6,7,3,8,4,7,6,7,7,5,7,8,7,8,8,8,7,8,7,7,6,8,8,8,8,6
Homer Sebborn,Bruce Lugo,5,3,5,2,2,1,2,2,2,4,1,2,2,1,5,4,3,4,4,5,7,4,4,8,5,1,8,8,7,2,3,5,6,6,3,4,8,8,8,8,7,8,8,8,8,7,8,8,6,8,8,8,8,8,5,8,8,8,8,8
Say Kleinhausen,Bruce Lugo,1,1,5,4,1,4,8,3,2,3,8,1,6,5,4,1,2,3,4,8,4,5,7,6,4,3,4,7,1,8,8,4,5,3,6,6,4,8,8,8,8,8,5,8,8,5,7,6,8,8,8,8,4,6,8,8,8,8,8,8
Tyler Traynor,Bruce Lugo,1,3,1,2,1,4,1,2,5,2,1,3,4,3,4,3,4,5,3,4,1,5,4,8,6,8,3,8,6,5,2,6,8,5,3,7,8,8,6,8,8,8,5,8,5,5,8,8,8,8,6,8,8,5,8,8,8,6,6,8
Johnath Tufts,Bruce Lugo,3,4,3,2,4,1,4,5,4,5,1,3,3,6,1,3,2,6,7,3,3,7,8,8,6,3,5,7,3,8,5,6,7,8,6,8,5,8,8,8,8,8,8,4,8,8,8,6,8,8,8,6,7,8,8,8,5,8,8,8
Kristin Bardill,Bruce Lugo,3,4,1,2,5,3,4,1,4,1,6,1,2,1,3,2,2,4,6,1,8,4,8,2,7,2,8,5,6,4,4,8,5,6,5,7,4,8,8,8,8,8,7,8,8,8,8,4,6,8,8,6,8,8,8,8,8,8,7,8
Timmie Knudsen,Ely Kely,2,2,2,5,1,2,1,3,2,5,5,4,4,4,1,1,5,4,8,5,8,5,4,8,8,6,8,5,7,7,7,6,8,8,4,8,8,8,8,6,8,8,7,8,8,6,8,8,8,5,8,8,8,8,8,8,8,8,8,8
Mona Orviss,Ely Kely,6,4,3,1,3,1,3,5,5,3,6,2,1,1,3,8,2,4,5,3,7,4,4,6,4,3,7,8,8,4,2,3,5,4,4,8,8,7,7,8,7,8,6,8,8,7,8,8,2,8,8,8,8,4,8,8,8,8,8,8
Everett O'Clery,Ely Kely,2,6,2,4,2,4,3,4,5,1,3,2,4,4,4,4,3,4,4,4,8,8,5,7,6,7,7,4,5,8,7,5,4,4,6,8,8,8,7,8,8,8,6,8,6,5,6,8,8,7,6,6,5,6,8,8,8,8,8,8
Konstanze Trynor,Ely Kely,2,2,1,1,3,4,8,1,1,2,4,3,2,3,4,2,4,4,6,5,6,6,4,5,4,8,6,8,3,4,6,5,8,4,5,5,8,8,8,8,8,8,8,6,8,8,6,7,7,6,6,8,8,8,8,8,8,8,8,8
